cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
74234,55,90,46.1311,88.017
74312,51,88,43.1512,86.4224
74412,51,90,41.5405,87.8328
73690,49,87,45.9159,86.999
72211,63,94,49.2613,89.8118
73512,52,88,44.9429,87.2593
74416,50,90,43.0811,87.2062
75294,48,89,43.6847,87.1982
72451,52,91,46.5235,88.8909
73633,51,88,46.1331,86.7638
74386,55,89,46.3013,87.3293
74050,43,87,43.1001,86.3554
73763,49,87,44.5786,87.2823
73144,58,93,48.2042,89.2242
74409,49,88,43.3123,87.3674
71800,57,95,47.986,90.4184
75244,46,88,41.5536,86.8328
74205,51,90,46.1722,88.9069
73695,48,93,44.1922,89.9099
73848,59,92,48.004,88.3864
74711,50,89,43.5125,87.1612
75474,48,88,44.1692,86.3954
75176,43,90,41.2472,88.2202
76156,47,87,41.3654,86.5295
71781,59,94,50.6827,90.1802
73985,54,90,44.8719,88.2643
72480,62,93,50.3383,88.7357
74109,53,90,45.5205,87.2102
72303,55,93,46.8689,88.9089
75671,49,92,40.6647,87.3974
72573,65,94,47.0561,88.7327
72645,52,89,46.1371,87.8238
73190,50,91,45.3724,88.7137
73730,53,89,46.9079,87.7067
73129,50,89,42.5586,85.9309
74445,53,89,45.7467,86.9179
73808,46,89,43.4665,88.1151
72445,50,90,46.8539,88.0701
74297,45,90,42.2553,88.4274
72805,58,93,47.2923,89.6687
73121,51,90,44.1441,88.4885
74626,52,90,42.7608,87.5876
73529,55,90,45.8929,88.1451
76397,54,91,45.3584,87.1171
73573,59,92,46.1602,87.995
72564,47,91,45.7598,88.3253
74098,51,90,44.6236,87.4715
75070,47,89,42.3724,87.9079
73346,55,88,48.4965,87.7117
73552,56,91,46.0821,87.4805
73180,50,88,47.1822,87.7768
73307,60,92,46.6216,88.7878
72749,60,93,50.6737,89.1622
74220,47,90,45.9289,88.4344
72664,57,91,46.028,87.6937
74710,52,89,45.8869,88.4825
73782,45,87,45.998,86.8318
72106,59,94,49.8699,89.3373
73277,55,92,46.6366,88.7487
73720,54,89,46.3093,88.5736
73700,52,93,46.5135,88.7297
72379,61,92,47.4755,88.5766
74152,52,90,45.1451,87.3704
75533,53,88,44.9479,87.1281
73164,52,92,46.984,88.5135
73303,55,91,44.5215,88.1301
74842,54,91,44.7147,87.9289
72451,67,95,48.6466,89.5526
72205,53,92,46.2392,87.8599
72575,55,92,45.9239,87.9199
75300,46,88,40.3834,85.7277
75137,49,87,43.3874,86.1652
77099,49,85,41.1361,85.0961
74169,51,90,47.5916,88.4555
73946,54,91,46.0521,88.6517
73181,52,89,45.6717,87.6146
72522,57,91,47.4174,89.5365
73947,52,88,45.7097,87.2503
