cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
49768,44,80,42.6206,82.8599
48960,42,85,42.2713,82.5195
48216,53,86,43.0771,84.1341
49974,39,82,39.6817,82.6817
48300,47,87,41.3403,83.6637
48936,45,84,39.961,82.4284
47987,46,82,43.6977,82.1652
47856,41,83,42.4845,85.0621
47725,50,81,43.6697,81.6296
47262,45,83,42.6657,83.4785
48049,46,83,44.5796,85.1101
45479,51,86,45.7648,83.9289
48004,47,79,44.0611,83.1491
46812,50,85,45.3443,84.5055
47056,52,85,42.8228,82.022
49596,52,79,43.3914,81.983
47376,44,83,43.016,84.3854
48070,61,84,46.3844,82.2472
48284,44,83,41.6196,85.0651
48193,48,82,41.6016,82.7467
47568,49,84,42.1491,82.4014
48594,43,80,39.3984,82.2422
47258,52,81,45.4154,82.2783
48305,45,82,41.8609,83.7598
48781,50,81,43.7387,82.8609
47186,57,86,42.7327,83.3353
47986,54,84,45.2683,83.3984
47454,51,87,43.9149,83.6226
50195,44,78,38.6276,82.4915
45949,56,89,45.6466,84.963
47848,48,84,41.7508,83.004
49846,42,81,41.9259,83.2643
47743,48,81,44.2973,83.5325
49004,46,83,39.5265,81.8288
47664,46,85,43.3413,83.3744
48343,45,82,41.3003,81.3934
45888,52,84,44.6076,81.958
48708,50,84,43.2743,84.7858
47836,50,84,43.2442,83.6216
47769,44,83,43.4925,84.0721
47808,58,87,43.4555,83.8228
49510,47,83,41.4545,83.7157
47117,49,85,43.8649,83.2633
46895,49,84,43.029,84.0811
50568,50,80,41.5506,81.1091
49904,50,81,42.6046,82.4074
47532,43,78,42.5475,82.2573
48453,42,80,39.8549,82.4404
49723,43,82,39.5566,82.3063
48925,51,83,39.7688,81.987
50544,46,80,39.8909,80.3363
45454,53,84,47.5886,83.6517
50073,47,80,41.3574,82.3383
47065,55,86,44.7978,83.991
48965,43,82,43.1832,84.951
49830,46,82,39.8599,81.8288
48412,49,81,45.3574,83.3443
48683,52,84,43.7718,84.5045
46647,45,84,43.2092,82.2162
48108,44,83,42.4635,82.6436
47236,51,85,43.7538,84.5465
47399,53,82,42.6617,82.6697
48600,42,82,43.0831,85.3644
49600,42,83,37.6476,82.7568
48040,43,84,42.9329,83.8288
49838,40,82,40.3383,83.7057
48975,41,80,41.6036,82.1852
47982,46,83,41.3524,83.5886
48146,49,79,44.8959,82.992
49666,44,83,41.7337,82.7898
49275,43,80,42.8498,82.4244
46583,55,85,48.3213,84.3694
47464,43,85,42.02,83.6476
47965,51,86,43.3614,83.6667
48142,52,86,43.0501,84.5065
48147,48,79,42.7978,81.6026
48460,45,81,42.4885,82.2623
47604,47,83,44.5516,83.993
48857,53,83,43.4024,80.6677
49295,39,78,41.1071,81.6276
47352,53,87,45.7598,83.1471
48251,49,85,43.1792,84.7978
45612,64,89,46.5195,83.5155
47841,50,81,43.7588,82.9289
48746,54,83,43.1712,82.7938
49498,38,81,40.7067,82.8278
48304,44,85,41.6927,83.4204
48753,48,81,43.4294,83.2172
47729,53,86,43.0541,84.4585
47351,46,81,44.005,83.9279
47613,52,84,42.1371,83.8959
49083,42,85,40.2613,83.3373
46922,53,83,44.3584,81.6176
46940,51,84,46.7127,84.2062
48176,46,83,42.6637,84.2863
45623,56,84,46.1702,84.5395
46841,53,87,44.1852,82.1421
48955,42,82,42.9019,85.2623
46994,45,84,42.6767,82.4975
49898,41,84,39.1131,83.96
48366,49,84,41.3854,82.7187
48535,50,83,43.5886,83.3534
